Cites,Authors,Title,Year,Source,,,,,
1827,"J Zimmerman, J Forlizzi, S Evenson",Research through design as a method for interaction design research in HCI,2007,Proceedings of the SIGCHI …,,,,,
654,JM Carroll,"HCI models, theories, and frameworks: Toward a multidisciplinary science",2003,,,,,,
644,D Benyon,"Designing interactive systems: A comprehensive guide to HCI, UX and interaction design",2014,,,,,,
1440,"A Poole, LJ Ball",Eye tracking in HCI and usability research,2006,Encyclopedia of human computer interaction,,,,,
866,S Bødker,When second wave HCI meets third wave challenges,2006,Proceedings of the 4th Nordic conference on Human …,,,,,
659,"C DiSalvo, P Sengers, H Brynjarsdóttir",Mapping the landscape of sustainable HCI,2010,Proceedings of the SIGCHI …,,,,,
549,"J Kjeldskov, C Graham",A review of mobile HCI research methods,2003,International Conference on Mobile Human …,,,,,
359,Y Rogers,"HCI theory: classical, modern, and contemporary",2012,Synthesis lectures on human-centered informatics,,,,,
680,N Bevan,International standards for HCI and usability,2001,International journal of human-computer studies,,,,,
627,"E Soloway, M Guzdial, KE Hay",Learner-centered design: The challenge for HCI in the 21st century,1994,interactions,,,,,
639,"S Harrison, D Tatar, P Sengers",The three paradigms of HCI,2007,Alt. Chi. Session at the …,,,,,
439,"P Wright, J McCarthy",Empathy and experience in HCI,2008,Proceedings of the SIGCHI conference on human …,,,,,
506,"K Boehner, J Vertesi, P Sengers, ...",How HCI interprets the probes,2007,Proceedings of the SIGCHI …,,,,,
370,P Dourish,HCI and environmental sustainability: the politics of design and the design of politics,2010,Proceedings of the 8th ACM conference on designing …,,,,,
188,O Keyes,The misgendering machines: Trans/HCI implications of automatic gender recognition,2018,Proceedings of the ACM on human-computer …,,,,,
399,"P Klasnja, S Consolvo, W Pratt",How to evaluate technologies for health behavior change in HCI research,2011,… of the SIGCHI conference on human …,,,,,
249,"K Kuutti, LJ Bannon",The turn to practice in HCI: towards a research agenda,2014,Proceedings of the SIGCHI Conference on Human …,,,,,
645,S Bardzell,Feminist HCI: taking stock and outlining an agenda for design,2010,Proceedings of the SIGCHI conference on human …,,,,,
341,"A Abdul, J Vermeulen, D Wang, BY Lim, ...","Trends and trajectories for explainable, accountable and intelligible systems: An hci research agenda",2018,Proceedings of the …,,,,,
949,"RW Soukoreff, IS MacKenzie","Towards a standard for pointing device evaluation, perspectives on 27 years of Fitts' law research in HCI",2004,International journal of human-computer …,,,,,
311,"V Kaptelinin, B Nardi",Activity theory in HCI: Fundamentals and reflections,2012,Synthesis Lectures Human-Centered …,,,,,
284,RW Picard,Affective Computing for HCI.,1999,HCI (1),,,,,
721,DR Millen,Rapid ethnography: time deepening strategies for HCI field research,2000,Proceedings of the 3rd conference on Designing …,,,,,
323,"A Dillon, C Watson",User analysis in HCI—the historical lessons from individual differences research,1996,International journal of human-computer studies,,,,,
158,"N McDonald, S Schoenebeck, A Forte",Reliability and inter-rater reliability in qualitative research: Norms and guidelines for CSCW and HCI practice,2019,… of the ACM on Human-Computer …,,,,,
779,"LJ Black, M Sato, ER Rowley, ...",Raloxifene (LY139481 HCI) prevents bone loss and reduces serum cholesterol without causing uterine hypertrophy in ovariectomized rats.,1994,The Journal of …,,,,,
613,"A Oulasvirta, S Tamminen, V Roto, ...",Interaction in 4-second bursts: the fragmented nature of attentional resources in mobile HCI,2005,Proceedings of the …,,,,,
788,"J Accot, S Zhai",Beyond Fitts' law: models for trajectory-based HCI tasks,1997,Proceedings of the ACM SIGCHI Conference on …,,,,,
