Cites,Authors,Title,Year,Source
2538,"AK Dey, GD Abowd, D Salber",A conceptual framework and a toolkit for supporting the rapid prototyping of context-aware applications,2001,Human-computer interaction
1421,K Kuutti,Activity theory as a potential framework for human-computer interaction research,1996,… : Activity theory and human-computer interaction
1420,"GM Olson, JS Olson",Distance matters,2000,Human-computer interaction
1362,"EL Hutchins, JD Hollan, DA Norman",Direct manipulation interfaces,1985,… –Computer Interaction
1236,"J Hollan, E Hutchins, D Kirsh",Distributed cognition: toward a new foundation for human-computer interaction research,2000,… on Computer-Human Interaction (TOCHI)
874,"MM Blattner, DA Sumikawa…",Earcons and icons: Their structure and common design principles,1989,… –Computer Interaction
838,"A MacLean, RM Young, VME Bellotti…","Questions, options, and criteria: Elements of design space analysis",1991,… –computer interaction
829,IS MacKenzie,Fitts' law as a research and design tool in human-computer interaction,1992,Human-computer interaction
791,"T Erickson, WA Kellogg",Social translucence: an approach to designing systems that support social processes,2000,… transactions on computer-human interaction ( …
768,BA Nardi,"Studying context: A comparison of activity theory, situated action models, and distributed cognition",1996,… : Activity theory and human-computer interaction
743,"VJ Dubrovsky, S Kiesler, BN Sethna",The equalization phenomenon: Status effects in computer-mediated and face-to-face decision-making groups,1991,Human-Computer Interaction
669,"DC Smith, C Irby, R Kimball, WL Verplank…",Designing the Star user interface,1987,… -computer interaction
630,"YK Leung, MD Apperley",A review and taxonomy of distortion-oriented presentation techniques,1994,… Transactions on Computer-Human Interaction …
596,WW Gaver,The SonicFinder: An interface that uses auditory icons,1989,Human-Computer Interaction
596,"BE John, DE Kieras",The GOMS family of user interface analysis techniques: Comparison and contrast,1996,… Transactions on Computer-Human Interaction ( …
594,"C Sun, X Jia, Y Zhang, Y Yang, D Chen","Achieving convergence, causality preservation, and intention preservation in real-time cooperative editing systems",1998,… Computer-Human Interaction ( …
573,"M Roseman, S Greenberg","Building real-time groupware with GroupKit, a groupware toolkit",1996,… on Computer-Human Interaction (TOCHI)
568,"B Myers, SE Hudson, R Pausch","Past, present, and future of user interface software tools",2000,… on Computer-Human Interaction ( …
565,"DE Kieras, DE Meyer",An overview of the EPIC architecture for cognition and performance with application to human-computer interaction,1997,Human-computer interaction
524,WW Gaver,Auditory icons: Using sound in computer interfaces,1986,Human-computer interaction
517,MS Ackerman,The intellectual challenge of CSCW: the gap between social requirements and technical feasibility,2000,Human–Computer Interaction
511,"IS MacKenzie, RW Soukoreff","Text entry for mobile computing: Models and methods, theory and practice",2002,Human–Computer Interaction
446,R Guindon,Designing the design process: Exploiting opportunistic thoughts,1990,Human-Computer Interaction
441,"WD Gray, MC Salzman",Damaged merchandise? A review of experiments that compare usability evaluation methods,1998,Human–Computer Interaction
436,M Hassenzahl,"The interplay of beauty, goodness, and usability in interactive products",2004,Human-Computer Interaction
431,BA Nardi,Activity theory and human-computer interaction,1996,… : Activity theory and human-computer interaction
430,"SJ Payne, TRG Green",Task-action grammars: A model of the mental representation of task languages,1986,Human-computer interaction
425,"WD Gray, BE John, ME Atwood",Project Ernestine: Validating a GOMS analysis for predicting and explaining real-world task performance,1993,Human-computer interaction
406,"EJ Conklin, KC Yakemovic",A process-oriented approach to design rationale,1991,Human-Computer Interaction
403,T Winograd,Architectures for context,2001,Human-Computer Interaction
403,KM Fairchild,SemNet: Three-dimensional graphic representation of large knowledge bases,1988,… and its applications for human-computer interaction
401,V Kaptelinin,Activity theory: implications for human-computer interaction,1996,… : Activity theory and human-computer interaction
399,"C Chen, R Rada",Interacting with hypertext: A meta-analysis of experimental studies,1996,Human-computer interaction
394,"JI Hong, JA Landay",An infrastructure approach to context-aware computing,2001,Human-Computer Interaction
387,"G Fischer, AC Lemke, R McCall…",Making argumentation serve design,1991,… –Computer Interaction
371,"J Lee, KY Lai",What's in design rationale?,1991,Human–Computer Interaction
